Name,Link
La Colombe Restaurant,https://wanderlog.com/place/details/417994/la-colombe-restaurant
Fyn Restaurant,https://wanderlog.com/place/details/816537/fyn-restaurant
The Pot Luck Club,https://wanderlog.com/place/details/392136/the-pot-luck-club
Kloof Street House,https://wanderlog.com/place/details/95717/kloof-street-house
The Lawns at the Roundhouse,https://wanderlog.com/place/details/810836/the-lawns-at-the-roundhouse
Grub & Vine,https://wanderlog.com/place/details/459390/grub--vine
Thali Restaurant,https://wanderlog.com/place/details/1117303/thali-restaurant
Foxcroft Restaurant,https://wanderlog.com/place/details/1170365/foxcroft-restaurant
Beau Constantia,https://wanderlog.com/place/details/3322/beau-constantia
Belly of the beast,https://wanderlog.com/place/details/892255/belly-of-the-beast
PIER Restaurant,https://wanderlog.com/place/details/3601772/pier-restaurant
Grand Africa Café & Beach,https://wanderlog.com/place/details/469733/grand-africa-café--beach
The Foodbarn Café & Tapas,https://wanderlog.com/place/details/1117293/the-foodbarn-café--tapas
Bombay Brasserie,https://wanderlog.com/place/details/1169370/bombay-brasserie
SeaBreeze Fish & Shell,https://wanderlog.com/place/details/568969/seabreeze-fish--shell
Chefs Warehouse Beau Constantia,https://wanderlog.com/place/details/854511/chefs-warehouse-beau-constantia
Hemelhuijs,https://wanderlog.com/place/details/892258/hemelhuijs
The Waterside,https://wanderlog.com/place/details/2052892/the-waterside
Chefs Warehouse & Canteen,https://wanderlog.com/place/details/11566633/chefs-warehouse--canteen
Willoughby & Co.,https://wanderlog.com/place/details/593348/willoughby--co
Bistro Sixteen82,https://wanderlog.com/place/details/1169358/bistro-sixteen82
Aubergine Restaurant,https://wanderlog.com/place/details/1169371/aubergine-restaurant
Azure Restaurant,https://wanderlog.com/place/details/1448349/azure-restaurant
Kyoto Garden Japanese Restaurant,https://wanderlog.com/place/details/1117296/kyoto-garden-japanese-restaurant
Sundoo Sea Point,https://wanderlog.com/place/details/1481198/sundoo-sea-point
Salsify at the Roundhouse,https://wanderlog.com/place/details/1028302/salsify-at-the-roundhouse
ëlgr Restaurant,https://wanderlog.com/place/details/1173884/ëlgr-restaurant
Emazulwini Restaurant,https://wanderlog.com/place/details/1275883/emazulwini-restaurant
Ouzeri,https://wanderlog.com/place/details/4463662/ouzeri
The Happy Uncles,https://wanderlog.com/place/details/5493073/the-happy-uncles
Heirloom Restaurant,https://wanderlog.com/place/details/10561937/heirloom-restaurant
Baía Seafood Restaurant - V&A Waterfront,https://wanderlog.com/place/details/1467617/baía-seafood-restaurant-va-waterfront
Den Anker,https://wanderlog.com/place/details/1426749/den-anker
Sevruga Restaurant,https://wanderlog.com/place/details/836022/sevruga-restaurant
Harbour House Kalk Bay,https://wanderlog.com/place/details/1461024/harbour-house-kalk-bay
Black Sheep Restaurant,https://wanderlog.com/place/details/1117336/black-sheep-restaurant
Burger & Lobster,https://wanderlog.com/place/details/829407/burger--lobster
Nobu,https://wanderlog.com/place/details/816532/nobu
Rick's Cafe Americain,https://wanderlog.com/place/details/1173931/ricks-cafe-americain
Villa 47,https://wanderlog.com/place/details/1400761/villa-47
Clarke's Bar & Dining Room,https://wanderlog.com/place/details/95924/clarkes-bar--dining-room
Biesmiellah Restaurant,https://wanderlog.com/place/details/751123/biesmiellah-restaurant
South China Dim Sum Bar,https://wanderlog.com/place/details/1107852/south-china-dim-sum-bar
Nourish'd Café & Juicery,https://wanderlog.com/place/details/1172762/nourishd-café--juicery
Bao Down,https://wanderlog.com/place/details/1117331/bao-down
Dusk Restaurant,https://wanderlog.com/place/details/4385424/dusk-restaurant
The Conscious Kitchen,https://wanderlog.com/place/details/1336861/the-conscious-kitchen
Pizza Shed Bree,https://wanderlog.com/place/details/2326884/pizza-shed-bree
Makers Landing,https://wanderlog.com/place/details/822609/makers-landing
Between Us,https://wanderlog.com/place/details/1173885/between-us
Truth Coffee Roasting,https://wanderlog.com/place/details/95925/truth-coffee-roasting
Origin Coffee Roasting,https://wanderlog.com/place/details/1336767/origin-coffee-roasting
Rosetta Roastery Cafe (Bree Street),https://wanderlog.com/place/details/1548504/rosetta-roastery-cafe-bree-street
Deluxe Coffeeworks,https://wanderlog.com/place/details/1430901/deluxe-coffeeworks
Ground Art Caffe,https://wanderlog.com/place/details/1336780/ground-art-caffe
Bean There Coffee Company - Cape Town (by appointment only),https://wanderlog.com/place/details/1513672/bean-there-coffee-company-cape-town-by-appointment-only
Tribe Coffee Roasting & Café,https://wanderlog.com/place/details/1513667/tribe-coffee-roasting--café
Msquared Espresso Lab,https://wanderlog.com/place/details/9565236/msquared-espresso-lab
Jason Bakery,https://wanderlog.com/place/details/1108150/jason-bakery
Molten Toffee.,https://wanderlog.com/place/details/469730/molten-toffee
Our Local @ 117 Kloof,https://wanderlog.com/place/details/1336779/our-local--117-kloof
JARRYDS Brunch & Bistro,https://wanderlog.com/place/details/95926/jarryds-brunch--bistro
Haas Coffee,https://wanderlog.com/place/details/1170265/haas-coffee
Loading Bay,https://wanderlog.com/place/details/1336773/loading-bay
Kamili Coffee on Long,https://wanderlog.com/place/details/1513668/kamili-coffee-on-long
Dapper Coffee Co,https://wanderlog.com/place/details/569000/dapper-coffee-co
The Ladder,https://wanderlog.com/place/details/2353467/the-ladder
Clarke's Bar & Dining Room,https://wanderlog.com/place/details/95924/clarkes-bar--dining-room
Starlings,https://wanderlog.com/place/details/1336771/starlings
Coco Safar Sea Point,https://wanderlog.com/place/details/1431208/coco-safar-sea-point
Yours Truly,https://wanderlog.com/place/details/568856/yours-truly
The Blue Cafe,https://wanderlog.com/place/details/1336790/the-blue-cafe
Red Sofa Café & Deli,https://wanderlog.com/place/details/1527410/red-sofa-café--deli
Heaven Coffee Shop,https://wanderlog.com/place/details/5825193/heaven-coffee-shop
I Love Coffee Roastery and Deli Claremont,https://wanderlog.com/place/details/3674200/i-love-coffee-roastery-and-deli-claremont
THE ELECTRIC,https://wanderlog.com/place/details/1336852/the-electric
Bootlegger - Century City,https://wanderlog.com/place/details/758431/bootlegger-century-city
Shift Espresso Bar | Kloof Street,https://wanderlog.com/place/details/4572995/shift-espresso-bar--kloof-street
Honest Chocolate Factory,https://wanderlog.com/place/details/2481954/honest-chocolate-factory
Bootlegger Coffee Company,https://wanderlog.com/place/details/8357699/bootlegger-coffee-company
Four & Twenty Cafe,https://wanderlog.com/place/details/1336794/four--twenty-cafe
Caffe Neo,https://wanderlog.com/place/details/1169432/caffe-neo
The Power & The Glory,https://wanderlog.com/place/details/469742/the-power--the-glory
Bootlegger - Bakoven,https://wanderlog.com/place/details/2263423/bootlegger-bakoven
Bread Milk and Honey,https://wanderlog.com/place/details/1427600/bread-milk-and-honey
Nourish'd Café & Juicery,https://wanderlog.com/place/details/1172762/nourishd-café--juicery
BUTTER - All Day Breakfast & Bistro Bar,https://wanderlog.com/place/details/1336784/butter-all-day-breakfast--bistro-bar
mischu coffee,https://wanderlog.com/place/details/836025/mischu-coffee
The Strangers Club,https://wanderlog.com/place/details/885611/the-strangers-club
Boston Coffee Roasters,https://wanderlog.com/place/details/885780/boston-coffee-roasters
Park Café,https://wanderlog.com/place/details/1979415/park-café
MiCaffè Cape Town,https://wanderlog.com/place/details/3355084/micaffè-cape-town
Bootlegger - Green Point,https://wanderlog.com/place/details/4871707/bootlegger-green-point
Platō Coffee - De Waterkant,https://wanderlog.com/place/details/8405918/platō-coffee-de-waterkant
Origin,https://wanderlog.com/place/details/12263965/origin
Pauline's Greenpoint,https://wanderlog.com/place/details/8846808/paulines-greenpoint
Global Tribes Restaurant,https://wanderlog.com/place/details/8933940/global-tribes-restaurant
"Nøsh Café at Time Out Market, Cape Town",https://wanderlog.com/place/details/10009816/nøsh-café-at-time-out-market-cape-town
Siki's Koffee Kafe,https://wanderlog.com/place/details/10862299/sikis-koffee-kafe
Babylonstoren,https://wanderlog.com/place/details/33065/babylonstoren
Eastern Food Bazaar,https://wanderlog.com/place/details/860276/eastern-food-bazaar
Kalky’s,https://wanderlog.com/place/details/1107918/kalkys
Clarke's Bar & Dining Room,https://wanderlog.com/place/details/95924/clarkes-bar--dining-room
The Poke Co.,https://wanderlog.com/place/details/1174099/the-poke-co
Dunes Beach Restaurant & Bar,https://wanderlog.com/place/details/1538386/dunes-beach-restaurant--bar
Arnolds Restaurant,https://wanderlog.com/place/details/1025191/arnolds-restaurant
